2015-12-01 17:55:17,798 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Prakhar.jain\JspDemo\EmployeeManagement\src\main\resources
2015-12-01 17:55:17,799 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-01 17:55:17,800 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Prakhar.jain\JspDemo\EmployeeManagement\src\test\resources
2015-12-01 17:55:17,801 [Worker-30] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of EmployeeManagement
2015-12-01 17:55:17,801 [Worker-30] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for EmployeeManagement
2015-12-01 17:55:17,805 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-01 17:55:19,732 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-01 17:55:19,733 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Prakhar.jain\JspDemo\EmployeeManagement\src\main\resources
2015-12-01 17:55:19,735 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-01 17:55:19,736 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Prakhar.jain\JspDemo\EmployeeManagement\src\test\resources
2015-12-01 17:55:49,249 [Worker-28] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: EmployeeManagement:EmployeeManagement:0.0.1-SNAPSHOT @ D:\Prakhar.jain\JspDemo\EmployeeManagement\pom.xml.
2015-12-01 17:55:51,060 [Worker-28] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/javax/resource/javax.resource-api/1.7/javax.resource-api-1.7.pom
